Com,4
Node,573
SN,2428-0573
Firmware,8.00
Num Channels,4
Sample Rate,1 sample per 10 sec
Date (GMT),13/05/2014 07:56:50
Time (GMT),07:56:46:261


Calibration Coefficients
Channel,1,Slope,0.200373,Offset,-478.49,Units,µStrain
Channel,2,Slope,0.198525,Offset,-465.343,Units,µStrain
Channel,3,Slope,0.199383,Offset,-413.72,Units,µStrain
Channel,8,Slope,0.117188,Offset,-67.84,Units,°C

Timestamp (GMT),Timer Tick,Channel 1,Channel 2,Channel 3,Channel 8,Node RSSI (dBm),Base RSSI (dBm)
13/05/2014 08:21:40.101750000,149,-231.2297211,-18.86026955,48.84857178,25.20727539,-26,-69
13/05/2014 08:21:50.101750000,150,-231.2297211,-18.86026955,48.44980621,25.20727539,-26,-69
13/05/2014 08:22:00.101750000,151,-231.2297211,-18.66174507,48.84857178,25.20727539,-26,-69
13/05/2014 08:22:10.101750000,152,-230.4282227,-18.66174507,48.84857178,25.20727539,-28,-69
13/05/2014 08:22:20.101750000,153,-231.6304626,-18.66174507,48.44980621,25.20727539,-26,-69
13/05/2014 08:22:30.101750000,154,-230.8289642,-19.2573204,48.44980621,25.20727539,-26,-69
13/05/2014 08:22:40.101750000,155,-231.0293427,-18.86026955,48.44980621,25.20727539,-26,-69
13/05/2014 08:22:50.101750000,156,-231.4300842,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:23:00.101750000,157,-230.6286011,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:23:10.101750000,158,-229.4263611,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:23:20.101750000,159,-231.4300842,-19.2573204,48.44980621,25.20727539,-26,-69
13/05/2014 08:23:30.101750000,160,-231.0293427,-18.26469421,49.04795456,25.20727539,-26,-69
13/05/2014 08:23:40.101750000,161,-230.4282227,-18.26469421,48.44980621,25.20727539,-26,-69
13/05/2014 08:23:50.101750000,162,-231.4300842,-18.66174507,48.649189,25.20727539,-26,-69
13/05/2014 08:24:00.101750000,163,-231.6304626,-18.86026955,48.649189,25.20727539,-26,-69
13/05/2014 08:24:10.101750000,164,-231.8308411,-18.66174507,49.24733734,25.20727539,-26,-69
13/05/2014 08:24:20.101750000,165,-231.6304626,-19.05879402,49.44672012,25.20727539,-26,-69
13/05/2014 08:24:30.101750000,166,-231.0293427,-18.66174507,48.44980621,25.20727539,-26,-69
13/05/2014 08:24:40.101750000,167,-231.4300842,-19.05879402,48.25042343,25.20727539,-26,-69
13/05/2014 08:24:50.101750000,168,-231.0293427,-17.86764526,48.84857178,25.20727539,-26,-69
13/05/2014 08:25:00.101750000,169,-230.8289642,-18.46321869,49.04795456,25.20727539,-26,-69
13/05/2014 08:25:10.101750000,170,-231.2297211,-18.86026955,48.05104065,25.20727539,-26,-69
13/05/2014 08:25:20.101750000,171,-231.4300842,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:25:30.101750000,172,-231.0293427,-18.46321869,49.04795456,25.20727539,-26,-69
13/05/2014 08:25:40.101750000,173,-230.6286011,-18.46321869,49.04795456,25.20727539,-26,-69
13/05/2014 08:25:50.101750000,174,-231.4300842,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:26:00.101750000,175,-232.0312042,-18.26469421,48.649189,25.20727539,-26,-69
13/05/2014 08:26:10.101750000,176,-231.2297211,-18.66174507,49.64610291,25.20727539,-26,-69
13/05/2014 08:26:20.101750000,177,-231.4300842,-19.05879402,48.05104065,25.20727539,-26,-69
13/05/2014 08:26:30.101750000,178,-231.2297211,-18.86026955,49.04795456,25.20727539,-26,-69
13/05/2014 08:26:40.101750000,179,-230.8289642,-17.86764526,48.84857178,25.20727539,-26,-69
13/05/2014 08:26:50.101750000,180,-232.0312042,-17.66911888,49.04795456,25.20727539,-26,-69
13/05/2014 08:27:00.101750000,181,-231.2297211,-18.06616974,48.649189,25.20727539,-26,-69
13/05/2014 08:27:10.101750000,182,-231.4300842,-18.06616974,48.649189,25.20727539,-26,-69
13/05/2014 08:27:20.101750000,183,-230.6286011,-18.06616974,48.44980621,25.20727539,-26,-69
13/05/2014 08:27:30.101750000,184,-231.0293427,-18.46321869,48.649189,25.20727539,-26,-69
13/05/2014 08:27:40.101750000,185,-231.6304626,-18.86026955,48.44980621,25.20727539,-26,-69
13/05/2014 08:27:50.101750000,186,-231.2297211,-18.66174507,48.25042343,25.20727539,-26,-69
13/05/2014 08:28:00.101750000,187,-231.8308411,-18.06616974,48.25042343,25.20727539,-26,-69
13/05/2014 08:28:10.101750000,188,-231.0293427,-19.2573204,48.649189,25.20727539,-26,-69
13/05/2014 08:28:20.101750000,189,-231.2297211,-18.66174507,48.84857178,25.20727539,-26,-69
13/05/2014 08:28:30.101750000,190,-231.8308411,-18.06616974,48.44980621,25.20727539,-26,-69
13/05/2014 08:28:40.101750000,191,-231.4300842,-18.66174507,49.24733734,25.20727539,-26,-69
13/05/2014 08:28:50.101750000,192,-230.8289642,-18.66174507,48.84857178,25.20727539,-26,-69
